Plate,Sample,OligodT_barcode_plate
S1PL01,418_REL,A1_A2
S1PL02,418_REL,A3_A4
S1PL03,418_REL,A1_A2
S1PL04,418_REL,A3_A4
S1PL05,418_REL,A1_A2
S1PL06,418_REL,A3_A4
S1PL07,418_BL,A1_A2
S1PL08,418_BL,A3_A4
S1PL09,418_BL,A1_A2
S1PL10,418_BL,A3_A4
S1PL11,418_BL,A1_A2
S1PL12,418_BL,A3_A4
S1PL13,418_EOC3,A1_A2
S1PL14,418_BL,A3_A4
S1PL15,418_REL,A1_A2
S1PL16,418_REL,A3_A4
S2PL16,418_EOC3,A3_A4
S2PL17,418_EOC3,A1_A2
S2PL18,418_EOC3,A3_A4
S2PL01,516-REL,A1_A2
S2PL02,516-REL,A3_A4
S2PL03,516-REL,A1_A2
S2PL04,516-REL,A3_A4
S2PL05,516-REL,A1_A2
S2PL06,516-REL,A3_A4
S2PL07,516-BL,A1_A2
S2PL08,516-BL,A3_A4
S2PL09,516-BL,A1_A2
S2PL10,516-BL,A3_A4
S2PL11,516-BL,A1_A2
S2PL12,516-BL,A3_A4
S2PL13,516-EOC3,A1_A2
S2PL14,516-EOC3,A3_A4
S2PL15,516-EOC3,A1_A2
S3PL01,852_BL,A1_A2
S3PL02,852_BL,A3_A4
S3PL03,852_BL,A1_A2
S3PL04,852_EOC3,A3_A4
S3PL05,852_EOC3,A1_A2
S3PL06,852_EOC3,A3_A4
S3PL07,852_EOC3,A1_A2
S3PL08,852_REL,A3_A4
S3PL09,852_REL,A1_A2
S3PL10,852_REL,A3_A4
S3PL11,852_REL,A1_A2
S3PL12,852_REL,A3_A4
S4PL01,136_BL,A1_A2
S4PL02,136_BL,A3_A4
S4PL03,136_BL,A1_A2
S4PL04,136_BL,A3_A4
S4PL05,136_BL,A1_A2
S4PL06,136_BL,A3_A4
S4PL07,136_EOC3,A1_A2
S4PL08,136_EOC3,A3_A4
S4PL09,136_EOC3,A1_A2
S4PL10,136_REL,A3_A4
S4PL11,136_REL,A1_A2
S4PL12,136_REL,A3_A4
S4PL13,852_BL,A3_A4
S5PL01,570_REL,A1_A2
S5PL02,570_REL,A3_A4
S5PL03,570_REL,A1_A2
S5PL04,570_REL,A3_A4
S5PL05,570_REL,A1_A2
S5PL06,570_REL,A3_A4
S5PL07,570_BL,A1_A2
S5PL08,570_BL,A3_A4
S5PL09,570_BL,A1_A2
S5PL10,570_BL,A3_A4
S5PL11,570_BL,A1_A2
S5PL12,570_EOC3,A3_A4
S5PL13,570_EOC3,A1_A2
S5PL14,570_EOC3,A3_A4
S5PL15,570_EOC3,A1_A2
S5PL16,570_REL,A3_A4